STATUS,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,type_token_ratio,long_words,complex_words,complex_words_dc
likes the sound of thunder.,-0.5523514477086904,-0.2851991428892363,-0.08815582931067177,0.2956984957982657,-1.0333874896824773,-0.42830474846360067,-0.9693380001250405,-0.581238325236776,-0.6013465967049534,0.5885525463201324,-0.581238325236776,-0.7246318425974752,-0.8033081112487768
is so sleepy it's not even funny that's she can't get to sleep.,-0.4046522719129019,-0.3653290745457642,-0.3112441783269449,0.5214271910809313,-0.36910071614131823,-0.8884624549739628,-0.9693380001250405,-0.9858647374004086,-0.5127194579730134,-0.09518203533577548,-0.9858647374004086,-0.7246318425974752,-0.32285520790222516
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",-0.16087236820212705,0.06977317582192208,-0.14883573896543234,0.6334653488708409,0.2951860573998409,0.2420484536132234,-0.9693380001250405,0.22801449909048924,-0.08547704183545467,-0.6269755988459266,0.22801449909048924,-0.7246318425974752,0.638050598790878
likes how the day sounds in this new song.,-0.6514368486618396,-0.3691166152065796,-0.1709658083851544,0.5585801821315307,-0.7918286629402378,-1.2463628933709112,-0.9693380001250405,-0.9858647374004086,-0.4615464601281173,0.5885525463201324,-0.9858647374004086,-0.7246318425974752,-0.5630816595755009
is home. <3,-1.4284315344694525,-0.9047109364617005,-0.8806857953393153,1.2595298729843813,-1.1541669030535973,-1.5531346977111526,-0.9693380001250405,-0.9858647374004086,-0.09076333229802538,0.5885525463201324,-0.9858647374004086,-0.7246318425974752,-0.8033081112487768
www.thejokerblogs.com,0.03307812958950026,0.18263787953468702,0.27730780631167523,-0.4698473170462735,0.8588233197983998,0.15115310417907774,0.39192336915387244,-0.581238325236776,2.588390510911267,0.5885525463201324,-0.581238325236776,-0.032106160772916996,-0.32285520790222516
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",0.028123859541842895,0.05774282444890229,0.16397712261417594,-0.02707769605260897,-0.4294904228268782,0.08298159210346841,-0.9693380001250405,0.22801449909048924,0.596552461753413,0.5885525463201324,0.22801449909048924,-0.7246318425974752,0.638050598790878
is in Kentucky. 421 miles into her 1100 mile journey home.,-0.1562350379891683,-0.1713643623842295,0.0075990148338821225,0.04543498174128329,-0.6710492495691178,-0.21449409695373534,-0.9693380001250405,-0.17661191307314336,0.1320064047875721,0.5885525463201324,-0.17661191307314336,-0.7246318425974752,-0.08262875622894936
was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,1.0841173456258701,0.4724949595242881,0.280050780164564,-0.839707813007124,0.9661827983505069,0.8101443875766333,1.388435853846816,1.441893735581387,0.06336483834283971,-0.22179955045723987,1.441893735581387,1.3529452028761992,0.8782770504641538
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,0.8741686841386822,0.2123249839523167,0.3039399225501436,-0.991777850195891,0.7632062842129302,1.0288613221525462,1.388435853846816,1.441893735581387,0.24079256042960007,0.5885525463201324,1.441893735581387,1.3529452028761992,0.3978241471176022
has a crush on the Green Lantern.,-0.7480451145911602,-0.41388689175238164,-0.20342618737557097,0.6000770579679636,-0.9126080763113574,-0.6182111035313692,-0.9693380001250405,-0.581238325236776,-2.3937412395929942,0.5885525463201324,-0.581238325236776,-0.7246318425974752,-1.0435345629220525
has magic on the brain.,-0.8446533805204809,-0.5026689060885138,-0.3197545496408699,0.6415739338043966,-1.0333874896824773,-1.450877429597739,-0.9693380001250405,-0.9858647374004086,-2.3937412395929942,0.5885525463201324,-0.9858647374004086,-0.7246318425974752,-1.0435345629220525
"saw Transformers, Up, and Year One this week. Good movie overload. :D",-0.2629395057580335,-0.078666354245761,0.08662325689155173,0.20810533670510556,-0.10741198717055873,-0.2408330902556753,0.39192336915387244,-0.17661191307314336,-0.312043793642002,0.5885525463201324,-0.17661191307314336,-0.032106160772916996,-0.32285520790222516
Who wants to meet up on schedule pick-up day at Oviedo?,-0.1562350379891683,-0.22078930856588344,-0.04503705796843557,0.04543498174128329,-0.6710492495691178,-0.21449409695373534,-0.9693380001250405,-0.17661191307314336,0.1320064047875721,0.5885525463201324,-0.17661191307314336,-0.7246318425974752,-0.08262875622894936
"desires the thrill of inspiration. Also, money.",0.29589035973666306,0.05211974367464166,0.292856784760568,-0.6351923634825035,0.81281211470464,0.11219795442158655,0.9557762902437679,-0.17661191307314336,0.34246793948744797,0.5885525463201324,-0.17661191307314336,0.6604195210516411,-0.32285520790222516
is going to bed at 9:30! Yeah!,-1.065118397641238,-0.6811378220261375,-0.4927592746320061,1.0116729175574108,-0.8522183696257976,-1.2974915274276182,-0.9693380001250405,-0.9858647374004086,0.13980254348988086,0.5885525463201324,-0.9858647374004086,-0.7246318425974752,-0.32285520790222516
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",0.7384128379220679,0.19587108282308718,0.33487495173049614,-0.9039583710550657,0.8041850137495603,1.2005074507714908,1.388435853846816,1.441893735581387,0.7178864017964127,-0.19285840414376199,1.441893735581387,1.3529452028761992,0.638050598790878
thinks intangibility should be an option in reality settings.,0.6476828527238966,0.20476192656929149,0.4401974813750901,-0.9786439867846064,0.5501648189610938,0.4579249085193192,0.9557762902437679,0.22801449909048924,0.8780304614765294,0.5885525463201324,0.22801449909048924,0.6604195210516411,0.15759769544432645
"is tired. *PROPNAME*, let me go to sleep pl0x.",-0.9762167740082736,-0.3691166152065796,-0.1709658083851544,0.9428862243605656,-0.7918286629402378,-0.6782669594075011,-0.9693380001250405,-0.581238325236776,-0.4615464601281173,0.5885525463201324,-0.581238325236776,-0.7246318425974752,-0.5630816595755009
is discovering the many flavors of insomnia.,0.7134645494677927,0.013285857389056143,0.2514998704158896,-1.1293001320626908,0.81281211470464,0.8426070123745423,0.9557762902437679,0.22801449909048924,0.34246793948744797,0.5885525463201324,0.22801449909048924,0.6604195210516411,-0.32285520790222516
"is watching cousin play computer game on televison box thing. Also, sleepy.",0.4678153262714432,0.10255844842030343,0.2796221905000503,-0.6565832583102218,0.3958355685424407,0.18523886021688224,0.9557762902437679,0.22801449909048924,-0.312043793642002,0.5885525463201324,0.22801449909048924,0.6604195210516411,-0.32285520790222516
Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,-0.26624235245647143,-0.21931757848053818,-0.26046623904529537,0.5032850840342146,-0.12754188939907862,-0.42830474846360067,-0.9693380001250405,-0.581238325236776,-0.6129268531836763,-0.50542278432932,-0.581238325236776,-0.7246318425974752,-0.32285520790222516
Who'da thought a single text message could be enough to change my mind?,-0.3055226364057558,-0.11480000746159506,0.004019636973070264,0.3313110503954017,-0.48988012951243803,-0.26031066513442086,-0.9693380001250405,-0.17661191307314336,-0.7173745856371371,0.5885525463201324,-0.17661191307314336,-0.7246318425974752,-0.5630816595755009
